step	polyphony_degree_class_accuracy
0	0.3836229145526886
1	0.47049716114997864
2	0.5282986164093018
3	0.5805951952934265
4	0.6223980784416199
5	0.690521240234375
6	0.7331842184066772
7	0.7952864170074463
8	0.8298640847206116
9	0.8678823113441467
10	0.8916222453117371
11	0.9009117484092712
12	0.9261999130249023
13	0.9323928952217102
14	0.9423705339431763
15	0.9380698204040527
16	0.9463272094726562
17	0.9466712474822998
18	0.9520041346549988
19	0.9587132334709167
20	0.950455904006958
21	0.9635300040245056
